animation,animcmd
cliff_jump_quick1_jr,game_cliffjump1jr
cliff_jump_quick2,game_cliffjump2
cliff_wait,game_cliffwait
cliff_wait_jr,game_cliffwaitjr
closing_ear,game_closingear
clung_captain,game_clungcaptain
clung_captain_dx,game_clungcaptain
clung_captain_girl,game_clungcaptain
clung_diddy,game_clungdiddy
clung_diddy_dx,game_clungdiddydx
clung_diddy_girl,game_clungdiddy
clung_ganon,game_clungganon
clung_ganon_dx,game_clungganon
clung_ganon_girl,game_clungganon
clung_thrown_attack_diddy,game_clungthrownattackdiddy
clung_thrown_attack_diddy_dx,game_clungthrownattackdiddydx
clung_thrown_attack_diddy_girl,game_clungthrownattackdiddy
clung_thrown_jump_diddy,game_clungthrownjumpdiddy
clung_thrown_jump_diddy_dx,game_clungthrownjumpdiddydx
clung_thrown_jump_diddy_girl,game_clungthrownjumpdiddy
damage_air_1,game_damageair1
damage_air_2,game_damageair2
damage_air_3,game_damageair3
damage_elec,game_damageelec
damage_fly_hi,game_damageflyhi
damage_fly_lw,game_damageflylw
damage_fly_meteor,game_damageflymeteor
damage_fly_n,game_damageflyn
damage_fly_roll,game_damageflyroll
damage_fly_roll_end,game_damageflyrollend
damage_fly_top,game_damageflytop
damage_hi_1,game_damagehi1
damage_hi_2,game_damagehi2
damage_hi_3,game_damagehi3
damage_lw_1,game_damagelw1
damage_lw_2,game_damagelw2
damage_lw_3,game_damagelw3
damage_n_1,game_damagen1
damage_n_2,game_damagen2
damage_n_3,game_damagen3
dash,game_dash
dash_b,game_dashb
dash_b_run,game_dashbrun
dispatch,game_wait5
down_attack_d,game_downattackd
down_attack_u,game_downattacku
down_back_d,game_downbackd
down_back_u,game_downbacku
down_bound_d,game_downboundd
down_bound_u,game_downboundu
down_damage_d,game_downdamaged
down_damage_d3,game_downdamaged3
down_damage_u,game_downdamageu
down_damage_u3,game_downdamageu3
down_eat_d,game_downeatd
down_eat_u,game_downeatu
down_forward_d,game_downforwardd
down_forward_u,game_downforwardu
down_spot_d,game_downspot
down_spot_u,game_downspot
down_spot_u,game_downspotu
down_stand_d,game_downstandd
down_stand_u,game_downstandu
down_wait_d,game_downwaitd
down_wait_u,game_downwaitu
dragon_end,game_
dragon_loop,game_
dragon_start,game_
entry_l,game_entryl
entry_l_nana,game_entrylnana
entry_r,game_entryr
entry_r_nana,game_entryrnana
escape,game_escapen
escape_air,game_escapeair
escape_air_batwithin,game_escapeairbatwithin
escape_air_slide,game_escapeairslide
escape_attack,game_escapeattack
escape_b,game_escapeb
escape_b_batwithin,game_escapebbatwithin
escape_batwithin,game_escapenbatwithin
escape_f,game_escapef
escape_f_batwithin,game_escapefbatwithin
escape_f_l,game_escapef
fall,game_fall
fall_aerial,game_fallaerial
fall_aerial_b,game_
fall_aerial_f,game_
fall_b,game_
fall_damage,game_damagefall
fall_f,game_
fall_leaning_c,game_attackairlw2
fall_special,game_fallspecial
fall_special_b,game_
fall_special_f,game_
fill_blank,game_
fill_blank,game_share
fill_blank_cliff,game_
fill_blank_damage,game_
fill_blank_finish,game_
fill_blank_sleep,game_
final,game_final
final_air,game_finalair
final_air_attack,game_finalairattack
final_air_beam,game_finalairbeam
final_air_beam_end_r,game_finalairbeamendr
final_air_beam_start,game_finalairbeamstart
final_air_change,game_finalairchange
final_air_cheer_l,game_finalaircheerl
final_air_cheer_r,game_finalaircheerr
final_air_d,game_
final_air_dash,game_finalairdash
final_air_dash_end,game_finalairdashend
final_air_end,game_finalairend
final_air_end_l,game_finalairend
final_air_end_l,game_finalairendl
final_air_end_r,game_finalairend
final_air_end_r,game_finalairendr
final_air_fail,game_finalairfail
final_air_fail_l,game_finalairfail
final_air_finish,game_finalairfinish
final_air_happy_l,game_finalairhappyl
final_air_happy_r,game_finalairhappyr
final_air_hit,game_finalairhit
final_air_hit_end,game_finalairhitend
final_air_hold,game_finalairhold
final_air_l,game_finalairl
final_air_lock_on,game_finalairlockon
final_air_loop,game_finalairloop
final_air_money_l,game_finalairmoneyl
final_air_money_r,game_finalairmoneyr
final_air_r,game_finalairr
final_air_ready,game_finalairready
final_air_ride_l,game_finalairridel
final_air_ride_r,game_finalairrider
final_air_shoot,game_finalairshoot
final_air_shoot_ready,game_finalairshootready
final_air_start,game_finalairstart
final_air_start_hit,game_finalairstarthit
final_air_start_hit_l,game_finalairstarthit
final_air_start_l,game_finalairstart
final_air_start_l,game_finalairstartl
final_air_start_r,game_finalairstart
final_air_start_r,game_finalairstartr
final_air_surprise_l,game_finalairsurprisel
final_air_surprise_r,game_finalairsurpriser
final_air_turn,game_finalairturn
final_air_u,game_
final_air_vacuum,game_finalairvacuum
final_air_wait_l,game_finalairwait
final_air_wait_r,game_finalairwait
final_air1_l,game_finalair1l
final_air1_r,game_finalair1r
final_air2,game_finalair2
final_air2_nana,game_finalair2nana
final_appeal_l,game_finalappeal
final_appeal_r,game_finalappeal
final_attack,game_finalattack
final_attack,game_finalride
final_attack_2,game_finalattack2
final_attack_finish,game_finalattackfinish
final_beam,game_finalbeam
final_beam_end_r,game_finalbeamendr
final_beam_start,game_finalbeamstart
final_catch,game_finalcatch
final_change,game_finalchange
final_charge,game_finalcharge
final_charge_ready,game_finalchargeready
final_cheer_l,game_finalcheerl
final_cheer_r,game_finalcheerr
final_d,game_
final_dash,game_finaldash
final_dash_end,game_finaldashend
final_dash_loop,game_finaldashloop
final_end,game_finalend
final_end_l,game_finalend
final_end_l,game_finalendl
final_end_r,game_finalend
final_end_r,game_finalendr
final_end_ready,game_finalendready
final_fail,game_finalfail
final_fail_l,game_finalfail
final_fall,game_finalfall
final_finish,game_finalfinish
final_finish_hi,game_finalfinishhi
final_finish_l,game_finalfinish
final_finish_lw,game_finalfinishlw
final_finish_r,game_finalfinish
final_finish_s,game_finalfinishs
final_hang,game_finalhang
final_hang_nana,game_finalhangnana
final_happy_l,game_finalhappyl
final_happy_r,game_finalhappyr
final_hi,game_finalhi
final_hit,game_finalhit
final_hit_fall,game_finalhitfall
final_hit_landing,game_finalhitlanding
final_hold,game_finalhold
final_jump,game_finaljump
final_l,game_finall
final_landing,game_finallanding
final_lock_on,game_finallockon
final_loop,game_finalloop
final_lw,game_finallw
final_miss,game_finalmiss
final_money_l,game_finalmoneyl
final_money_r,game_finalmoneyr
final_move,game_finalmove
final_r,game_finalr
final_ready,game_finalready
final_return,game_finalreturn
final_ride_l,game_finalridel
final_ride_r,game_finalrider
final_s,game_finals
final_shoot,game_finalshoot
final_shoot_ready,game_finalshootready
final_squat_l,game_finalsquatl
final_squat_r,game_finalsquatr
final_start,game_finalstart
final_start_hi,game_finalstarthi
final_start_hit,game_finalstarthit
final_start_hit_l,game_finalstarthit
final_start_l,game_finalstart
final_start_l,game_finalstartl
final_start_r,game_finalstart
final_start_r,game_finalstartr
final_surprise_l,game_finalsurprisel
final_surprise_r,game_finalsurpriser
final_turn,game_finalturn
final_u,game_
final_vacuum,game_finalvacuum
final_visual_scene,game_finalvisualscene
final_visual_scene_01,game_visualscene01
final_visual_scene_01,game_finalvisualscene01
final_visual_scene_02,game_visualscene02
final_visual_scene_02,game_finalvisualscene02
final_visual_scene_03,game_visualscene03
final_visual_scene_03,game_finalvisualscene03
final_visual_scene_04,game_visualscene04
final_visual_scene01,game_finalvisualscene01
final_visual_scene02,game_finalvisualscene02
final_visual_scene03,game_finalvisualscene03
final_wait,game_finalwait
final_wait_l,game_finalwait
final_wait_r,game_finalwait
final1_l,game_final1l
final1_r,game_final1r
final2,game_final2
final2_air,game_finalair2
final2_air_end,game_finalair2end
final2_fall,game_final2fall
final2_landing,game_final2landing
final2_nana,game_final2nana
fura_sleep_end,game_sleepend
fura_sleep_loop,game_sleeploop
fura_sleep_start,game_sleepstart
furafura,game_furafura
furafura_end,game_furafuraend
furafura_start_d,game_furafurastartd
furafura_start_u,game_furafurastartu
fuwafuwa,game_fuwafuwa
fuwafuwa_start,game_fuwafuwastart
gaogaen_special_s_damage,game_gaogaenspecialsdamage
gaogaen_special_s_damage_big,game_gaogaenspecialsdamagebig
gaogaen_special_s_damage_dx,game_gaogaenspecialsdamagedx
gaogaen_special_s_damage_girl,game_gaogaenspecialsdamagegirl
gaogaen_special_s_failure,game_gaogaenspecialsfailure
gaogaen_special_s_failure_big,game_gaogaenspecialsfailurebig
gaogaen_special_s_failure_dx,game_gaogaenspecialsfailuredx
gaogaen_special_s_failure_girl,game_gaogaenspecialsfailuregirl
gaogaen_special_s_thrown,game_gaogaenspecialsthrown
gaogaen_special_s_thrown_big,game_gaogaenspecialsthrownbig
gaogaen_special_s_thrown_dx,game_gaogaenspecialsthrowndx
gaogaen_special_s_thrown_girl,game_gaogaenspecialsthrowngirl
gaogaen_thrown_01,game_gaogaenthrown01
gaogaen_thrown_01_big,game_gaogaenthrown01big
gaogaen_thrown_01_dx,game_gaogaenthrown01dx
gaogaen_thrown_01_girl,game_gaogaenthrown01girl
gaogaen_thrown_02,game_gaogaenthrown02
gaogaen_thrown_02_big,game_gaogaenthrown02big
gaogaen_thrown_02_dx,game_gaogaenthrown02dx
gaogaen_thrown_02_girl,game_gaogaenthrown02girl
gaogaen_thrown_03,game_gaogaenthrown03
gaogaen_thrown_03_big,game_gaogaenthrown03big
gaogaen_thrown_03_dx,game_gaogaenthrown03dx
gaogaen_thrown_03_girl,game_gaogaenthrown03girl
ghost,game_ghost
guard,game_guard
guard_damage,game_guarddamage
guard_off,game_guardoff
guard_on,game_guardon
hair,game_
ijike,game_ijike
indicator,game_
indicator_empty,game_
ink,game_ink
item_assist_item,game_assistitem
item_bat_swing_1,game_batswing1
item_bat_swing_3,game_batswing3
